example_id,context_key,context_no_iteration,map,map_family,agents,seed,budget_ms,iteration,candidate_id,candidate_family,label_source,outcome_class,quality_delta,lexicographic_score,success_regression,safe_gain,high_margin,additive_solution_found,candidate_solution_found,goal_progress_aggregate_available,pre_update_cf_event_aggregates_available,param_candidate_index,param_alpha_cong_committed,param_alpha_cong_blocked,param_alpha_flow_progress,param_alpha_wait_or_nonprogress,param_rho_cong,param_rho_flow,param_flow_shield_beta,param_max_flow_shield,param_c_only,param_min_edge_cost,param_max_edge_cost,param_existing_project_owned_alias,param_new_g533_adapter_added,param_phase5p5_allowed,param_phase6_allowed,param_runtime_claim_allowed,param_learned_runtime_policy_validated,param_aaai_ready,param_new_g534_adapter_added,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,hard_negative_source
g536_safe_opp_00004151,maze-32-32-4|100|208|500|0,maze-32-32-4|100|208|500,maze-32-32-4,maze,100,208,500,0,repair5g59_wait_conservative,wait_conservative,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,6,1.25,1.25,1,0.5,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004152,maze-32-32-4|100|208|500|0,maze-32-32-4|100|208|500,maze-32-32-4,maze,100,208,500,0,repair5g59_flow_decay,flow_decay,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,8,1.25,1.25,1,0.75,0.95,0.95,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004153,maze-32-32-4|100|208|500|0,maze-32-32-4|100|208|500,maze-32-32-4,maze,100,208,500,0,repair5g59_high_beta_cap_safe,high_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,9,1.25,1.25,1,0.75,0.95,1,0.6,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004154,maze-32-32-4|100|208|500|0,maze-32-32-4|100|208|500,maze-32-32-4,maze,100,208,500,0,repair5g59_low_beta_high_cap,low_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,10,1.25,1.25,1,0.75,0.95,1,0.2,1.25,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004155,maze-32-32-4|100|208|500|0,maze-32-32-4|100|208|500,maze-32-32-4,maze,100,208,500,0,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max1p00_c0,high_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004156,maze-32-32-4|100|208|500|0,maze-32-32-4|100|208|500,maze-32-32-4,maze,100,208,500,0,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p6_max1p00_c0,high_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004157,maze-32-32-4|100|208|500|0,maze-32-32-4|100|208|500,maze-32-32-4,maze,100,208,500,0,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0,high_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004158,maze-32-32-4|100|208|500|0,maze-32-32-4|100|208|500,maze-32-32-4,maze,100,208,500,0,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004159,maze-32-32-4|100|208|500|0,maze-32-32-4|100|208|500,maze-32-32-4,maze,100,208,500,0,repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df1p00_beta0p35_max0p75_c0,wait_aggressive,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004160,maze-32-32-4|100|208|500|0,maze-32-32-4|100|208|500,maze-32-32-4,maze,100,208,500,0,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,flow_decay,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004161,maze-32-32-4|100|208|500|0,maze-32-32-4|100|208|500,maze-32-32-4,maze,100,208,500,0,repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004162,maze-32-32-4|100|208|500|0,maze-32-32-4|100|208|500,maze-32-32-4,maze,100,208,500,0,repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004163,maze-32-32-4|100|209|500|0,maze-32-32-4|100|209|500,maze-32-32-4,maze,100,209,500,0,repair5g59_static_flow_shield,static_flow_shield,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,1,1.25,1.25,1,0.75,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004164,maze-32-32-4|100|209|500|0,maze-32-32-4|100|209|500,maze-32-32-4,maze,100,209,500,0,repair5g59_commit_heavy_flow_guard,commit_heavy,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,5,1.5,1,1,0.75,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004165,maze-32-32-4|100|209|500|0,maze-32-32-4|100|209|500,maze-32-32-4,maze,100,209,500,0,repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df1p00_beta0p35_max0p75_c0,wait_aggressive,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004166,maze-32-32-4|100|209|500|0,maze-32-32-4|100|209|500,maze-32-32-4,maze,100,209,500,0,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,flow_decay,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004167,maze-32-32-4|100|209|500|0,maze-32-32-4|100|209|500,maze-32-32-4,maze,100,209,500,0,repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004168,maze-32-32-4|100|209|500|0,maze-32-32-4|100|209|500,maze-32-32-4,maze,100,209,500,0,repair5g59_additive_fallback,additive,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,0,1,1,0,1,1,1,0,0,True,0.25,10,True,False,False,False,False,False,False,False,False,False,False,False,False,
g536_safe_opp_00004169,maze-32-32-4|100|209|500|0,maze-32-32-4|100|209|500,maze-32-32-4,maze,100,209,500,0,repair5g59_c_only_f_disabled,c_only,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,2,1.25,1.25,0,0.75,0.95,1,0,0,True,0.25,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004170,maze-32-32-4|100|209|500|0,maze-32-32-4|100|209|500,maze-32-32-4,maze,100,209,500,0,repair5g59_light_cong_light_flow,other_flow,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,3,1,1,0.75,0.75,0.98,1,0.25,0.5,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004171,maze-32-32-4|100|209|500|0,maze-32-32-4|100|209|500,maze-32-32-4,maze,100,209,500,0,repair5g59_block_heavy_flow_guard,block_heavy,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,4,1,1.5,1,0.5,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004172,maze-32-32-4|100|209|500|0,maze-32-32-4|100|209|500,maze-32-32-4,maze,100,209,500,0,repair5g59_wait_conservative,wait_conservative,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,6,1.25,1.25,1,0.5,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004173,maze-32-32-4|100|209|500|0,maze-32-32-4|100|209|500,maze-32-32-4,maze,100,209,500,0,repair5g59_wait_aggressive,wait_aggressive,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,7,1.25,1.25,1,1,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004174,maze-32-32-4|100|209|500|0,maze-32-32-4|100|209|500,maze-32-32-4,maze,100,209,500,0,repair5g59_flow_decay,flow_decay,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,8,1.25,1.25,1,0.75,0.95,0.95,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004175,maze-32-32-4|100|209|500|0,maze-32-32-4|100|209|500,maze-32-32-4,maze,100,209,500,0,repair5g59_high_beta_cap_safe,high_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,9,1.25,1.25,1,0.75,0.95,1,0.6,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004176,maze-32-32-4|100|209|500|0,maze-32-32-4|100|209|500,maze-32-32-4,maze,100,209,500,0,repair5g59_low_beta_high_cap,low_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,10,1.25,1.25,1,0.75,0.95,1,0.2,1.25,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004177,maze-32-32-4|100|209|500|0,maze-32-32-4|100|209|500,maze-32-32-4,maze,100,209,500,0,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max0p75_c0,high_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004178,maze-32-32-4|100|209|500|0,maze-32-32-4|100|209|500,maze-32-32-4,maze,100,209,500,0,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max1p00_c0,high_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004179,maze-32-32-4|100|209|500|0,maze-32-32-4|100|209|500,maze-32-32-4,maze,100,209,500,0,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p6_max1p00_c0,high_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004180,maze-32-32-4|100|209|500|0,maze-32-32-4|100|209|500,maze-32-32-4,maze,100,209,500,0,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0,high_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004181,maze-32-32-4|100|209|500|0,maze-32-32-4|100|209|500,maze-32-32-4,maze,100,209,500,0,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,high_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004182,maze-32-32-4|100|209|500|0,maze-32-32-4|100|209|500,maze-32-32-4,maze,100,209,500,0,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004183,maze-32-32-4|100|209|500|0,maze-32-32-4|100|209|500,maze-32-32-4,maze,100,209,500,0,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0,other_flow,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004184,maze-32-32-4|100|209|500|0,maze-32-32-4|100|209|500,maze-32-32-4,maze,100,209,500,0,repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004185,maze-32-32-4|100|210|500|0,maze-32-32-4|100|210|500,maze-32-32-4,maze,100,210,500,0,repair5g59_additive_fallback,additive,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,0,1,1,0,1,1,1,0,0,True,0.25,10,True,False,False,False,False,False,False,False,False,False,False,False,False,
g536_safe_opp_00004186,maze-32-32-4|100|210|500|0,maze-32-32-4|100|210|500,maze-32-32-4,maze,100,210,500,0,repair5g59_light_cong_light_flow,other_flow,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,3,1,1,0.75,0.75,0.98,1,0.25,0.5,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004187,maze-32-32-4|100|210|500|0,maze-32-32-4|100|210|500,maze-32-32-4,maze,100,210,500,0,repair5g59_block_heavy_flow_guard,block_heavy,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,4,1,1.5,1,0.5,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004188,maze-32-32-4|100|210|500|0,maze-32-32-4|100|210|500,maze-32-32-4,maze,100,210,500,0,repair5g59_wait_aggressive,wait_aggressive,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,7,1.25,1.25,1,1,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004189,maze-32-32-4|100|210|500|0,maze-32-32-4|100|210|500,maze-32-32-4,maze,100,210,500,0,repair5g59_flow_decay,flow_decay,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,8,1.25,1.25,1,0.75,0.95,0.95,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004190,maze-32-32-4|100|210|500|0,maze-32-32-4|100|210|500,maze-32-32-4,maze,100,210,500,0,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max0p75_c0,high_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004191,maze-32-32-4|100|210|500|0,maze-32-32-4|100|210|500,maze-32-32-4,maze,100,210,500,0,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max1p00_c0,high_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004192,maze-32-32-4|100|210|500|0,maze-32-32-4|100|210|500,maze-32-32-4,maze,100,210,500,0,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,high_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004193,maze-32-32-4|100|210|500|0,maze-32-32-4|100|210|500,maze-32-32-4,maze,100,210,500,0,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004194,maze-32-32-4|100|210|500|0,maze-32-32-4|100|210|500,maze-32-32-4,maze,100,210,500,0,repair5g59_c_only_f_disabled,c_only,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,2,1.25,1.25,0,0.75,0.95,1,0,0,True,0.25,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004195,maze-32-32-4|100|210|500|0,maze-32-32-4|100|210|500,maze-32-32-4,maze,100,210,500,0,repair5g59_static_flow_shield,static_flow_shield,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,1,1.25,1.25,1,0.75,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004196,maze-32-32-4|100|210|500|0,maze-32-32-4|100|210|500,maze-32-32-4,maze,100,210,500,0,repair5g59_commit_heavy_flow_guard,commit_heavy,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,5,1.5,1,1,0.75,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004197,maze-32-32-4|100|210|500|0,maze-32-32-4|100|210|500,maze-32-32-4,maze,100,210,500,0,repair5g59_wait_conservative,wait_conservative,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,6,1.25,1.25,1,0.5,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004198,maze-32-32-4|100|210|500|0,maze-32-32-4|100|210|500,maze-32-32-4,maze,100,210,500,0,repair5g59_low_beta_high_cap,low_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,10,1.25,1.25,1,0.75,0.95,1,0.2,1.25,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00004199,maze-32-32-4|100|210|500|0,maze-32-32-4|100|210|500,maze-32-32-4,maze,100,210,500,0,repair5g59_high_beta_cap_safe,high_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,9,1.25,1.25,1,0.75,0.95,1,0.6,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
